width,height,sumofsquares,label
 73, 73,10658,1
 71, 74,10517,1
 72, 70,10084,1
 75, 72,10809,1
 70, 72,10084,1
 74, 67,9965,1
 74, 74,10952,1
 74, 75,11101,1
 71, 74,10517,1
 73, 72,10513,1
 72, 70,10084,1
 75, 71,10666,1
 70, 72,10084,1
 73, 68,9953,1
 74, 74,10952,1
 73, 75,10954,1
 71, 74,10517,1
 73, 73,10658,1
 72, 71,10225,1
 75, 72,10809,1
 70, 72,10084,1
 74, 68,10100,1
 73, 74,10805,1
 73, 75,10954,1
 73, 73,10658,1
 70, 74,10376,1
 72, 71,10225,1
 75, 71,10666,1
 70, 72,10084,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 70, 74,10376,1
 73, 72,10513,1
 71, 71,10082,1
 74, 71,10517,1
 73, 68,9953,1
 70, 72,10084,1
 73, 74,10805,1
 73, 75,10954,1
 73, 73,10658,1
 71, 74,10517,1
 72, 70,10084,1
 74, 72,10660,1
 71, 72,10225,1
 73, 68,9953,1
 73, 73,10658,1
 73, 75,10954,1
 73, 72,10513,1
 71, 74,10517,1
 72, 70,10084,1
 75, 71,10666,1
 70, 71,9941,1
 73, 68,9953,1
 73, 73,10658,1
 73, 75,10954,1
 71, 74,10517,1
 73, 72,10513,1
 72, 70,10084,1
 75, 72,10809,1
 73, 68,9953,1
 71, 72,10225,1
 73, 73,10658,1
 73, 75,10954,1
 73, 73,10658,1
 71, 74,10517,1
 72, 70,10084,1
 70, 72,10084,1
 73, 70,10229,1
 72, 68,9808,1
 72, 73,10513,1
 72, 75,10809,1
 73, 71,10370,1
 71, 75,10666,1
 72, 71,10225,1
 74, 70,10376,1
 70, 72,10084,1
 73, 68,9953,1
 73, 74,10805,1
 73, 76,11105,1
 73, 71,10370,1
 72, 70,10084,1
 69, 74,10237,1
 74, 70,10376,1
 70, 72,10084,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 71, 74,10517,1
 73, 72,10513,1
 73, 71,10370,1
 74, 71,10517,1
 70, 72,10084,1
 73, 68,9953,1
 73, 73,10658,1
 73, 76,11105,1
 73, 72,10513,1
 72, 75,10809,1
 73, 70,10229,1
 74, 71,10517,1
 70, 71,9941,1
 73, 68,9953,1
 73, 73,10658,1
 72, 75,10809,1
 73, 72,10513,1
 69, 74,10237,1
 73, 71,10370,1
 74, 71,10517,1
 70, 71,9941,1
 73, 68,9953,1
 73, 73,10658,1
 73, 74,10805,1
 73, 71,10370,1
 71, 74,10517,1
 73, 71,10370,1
 74, 71,10517,1
 71, 72,10225,1
 73, 68,9953,1
 73, 73,10658,1
 72, 75,10809,1
 74, 72,10660,1
 71, 74,10517,1
 72, 70,10084,1
 70, 71,9941,1
 74, 70,10376,1
 73, 68,9953,1
 74, 74,10952,1
 73, 75,10954,1
 72, 74,10660,1
 74, 71,10517,1
 72, 71,10225,1
 74, 70,10376,1
 70, 72,10084,1
 73, 68,9953,1
 74, 74,10952,1
 73, 75,10954,1
 72, 74,10660,1
 73, 71,10370,1
 72, 70,10084,1
 74, 71,10517,1
 70, 71,9941,1
 73, 68,9953,1
 73, 75,10954,1
 73, 75,10954,1
 71, 74,10517,1
 73, 71,10370,1
 72, 70,10084,1
 74, 71,10517,1
 70, 71,9941,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 71, 74,10517,1
 73, 72,10513,1
 72, 70,10084,1
 74, 71,10517,1
 70, 71,9941,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 74, 72,10660,1
 72, 74,10660,1
 72, 70,10084,1
 70, 73,10229,1
 74, 71,10517,1
 73, 68,9953,1
 73, 75,10954,1
 72, 74,10660,1
 71, 74,10517,1
 72, 70,10084,1
 74, 71,10517,1
 71, 72,10225,1
 75, 72,10809,1
 73, 68,9953,1
 73, 75,10954,1
 73, 74,10805,1
 71, 74,10517,1
 73, 70,10229,1
 74, 72,10660,1
 75, 71,10666,1
 71, 73,10370,1
 73, 67,9818,1
 73, 74,10805,1
 73, 74,10805,1
 71, 74,10517,1
 73, 71,10370,1
 73, 71,10370,1
 71, 73,10370,1
 75, 70,10525,1
 73, 67,9818,1
 73, 73,10658,1
 73, 75,10954,1
 72, 74,10660,1
 74, 71,10517,1
 73, 71,10370,1
 72, 72,10368,1
 76, 71,10817,1
 72, 74,10660,1
 74, 67,9965,1
 73, 74,10805,1
 72, 74,10660,1
 73, 72,10513,1
 73, 71,10370,1
 71, 72,10225,1
 75, 71,10666,1
 73, 68,9953,1
 73, 74,10805,1
 73, 74,10805,1
 72, 74,10660,1
 73, 72,10513,1
 73, 71,10370,1
 75, 71,10666,1
 71, 72,10225,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 73, 74,10805,1
 74, 72,10660,1
 73, 71,10370,1
 76, 71,10817,1
 71, 72,10225,1
 74, 68,10100,1
 72, 74,10660,1
 73, 74,10805,1
 72, 74,10660,1
 73, 72,10513,1
 74, 71,10517,1
 75, 71,10666,1
 71, 72,10225,1
 74, 68,10100,1
 72, 73,10513,1
 73, 75,10954,1
 72, 75,10809,1
 72, 72,10368,1
 73, 71,10370,1
 75, 72,10809,1
 71, 72,10225,1
 73, 68,9953,1
 73, 74,10805,1
 73, 74,10805,1
 72, 75,10809,1
 73, 72,10513,1
 73, 71,10370,1
 75, 71,10666,1
 71, 72,10225,1
 74, 68,10100,1
 73, 73,10658,1
 72, 75,10809,1
 73, 71,10370,1
 71, 74,10517,1
 72, 71,10225,1
 75, 71,10666,1
 71, 72,10225,1
 74, 68,10100,1
 73, 73,10658,1
 73, 75,10954,1
 72, 74,10660,1
 73, 71,10370,1
 72, 71,10225,1
 70, 72,10084,1
 74, 70,10376,1
 72, 73,10513,1
 73, 67,9818,1
 73, 75,10954,1
 73, 72,10513,1
 69, 73,10090,1
 73, 70,10229,1
 70, 71,9941,1
 74, 70,10376,1
 73, 74,10805,1
 74, 67,9965,1
 73, 74,10805,1
 73, 72,10513,1
 69, 73,10090,1
 72, 70,10084,1
 71, 72,10225,1
 74, 71,10517,1
 73, 75,10954,1
 74, 67,9965,1
 73, 74,10805,1
 73, 71,10370,1
 72, 74,10660,1
 72, 71,10225,1
 70, 72,10084,1
 75, 72,10809,1
 74, 67,9965,1
 73, 74,10805,1
 73, 75,10954,1
 73, 72,10513,1
 72, 74,10660,1
 72, 71,10225,1
 70, 71,9941,1
 74, 71,10517,1
 74, 67,9965,1
 73, 74,10805,1
 72, 74,10660,1
 73, 71,10370,1
 71, 74,10517,1
 72, 70,10084,1
 74, 71,10517,1
 70, 71,9941,1
 73, 74,10805,1
 74, 68,10100,1
 72, 74,10660,1
 73, 72,10513,1
 71, 74,10517,1
 72, 70,10084,1
 74, 71,10517,1
 71, 71,10082,1
 73, 74,10805,1
 74, 68,10100,1
 72, 74,10660,1
 74, 73,10805,1
 72, 74,10660,1
 73, 70,10229,1
 71, 72,10225,1
 74, 71,10517,1
 73, 74,10805,1
 74, 68,10100,1
 73, 75,10954,1
 72, 74,10660,1
 74, 72,10660,1
 73, 70,10229,1
 74, 72,10660,1
 71, 72,10225,1
 73, 68,9953,1
 73, 74,10805,1
 73, 74,10805,1
 72, 74,10660,1
 74, 72,10660,1
 73, 71,10370,1
 74, 71,10517,1
 70, 72,10084,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 71, 74,10517,1
 74, 73,10805,1
 72, 70,10084,1
 70, 71,9941,1
 74, 71,10517,1
 74, 67,9965,1
 73, 73,10658,1
 73, 75,10954,1
 71, 73,10370,1
 73, 72,10513,1
 73, 70,10229,1
 70, 72,10084,1
 74, 71,10517,1
 73, 68,9953,1
 73, 73,10658,1
 73, 74,10805,1
 72, 73,10513,1
 73, 72,10513,1
 72, 70,10084,1
 70, 73,10229,1
 75, 70,10525,1
 73, 73,10658,1
 73, 68,9953,1
 73, 75,10954,1
 74, 72,10660,1
 73, 70,10229,1
 68, 74,10100,1
 75, 71,10666,1
 70, 72,10084,1
 73, 68,9953,1
 72, 74,10660,1
 72, 74,10660,1
 74, 72,10660,1
 73, 70,10229,1
 68, 74,10100,1
 74, 71,10517,1
 71, 72,10225,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 74, 71,10517,1
 74, 70,10376,1
 71, 75,10666,1
 74, 71,10517,1
 71, 72,10225,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 74, 73,10805,1
 71, 75,10666,1
 73, 69,10090,1
 75, 71,10666,1
 70, 72,10084,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 74, 72,10660,1
 68, 74,10100,1
 73, 70,10229,1
 74, 71,10517,1
 70, 72,10084,1
 73, 68,9953,1
 73, 74,10805,1
 73, 74,10805,1
 73, 72,10513,1
 69, 74,10237,1
 72, 70,10084,1
 75, 71,10666,1
 70, 72,10084,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 74, 72,10660,1
 70, 74,10376,1
 72, 70,10084,1
 75, 71,10666,1
 71, 72,10225,1
 74, 68,10100,1
 73, 74,10805,1
 73, 75,10954,1
 74, 72,10660,1
 69, 74,10237,1
 73, 71,10370,1
 70, 72,10084,1
 75, 72,10809,1
 73, 68,9953,1
 72, 74,10660,1
 73, 74,10805,1
 73, 72,10513,1
 71, 74,10517,1
 72, 70,10084,1
 74, 71,10517,1
 70, 72,10084,1
 73, 68,9953,1
 72, 73,10513,1
 73, 75,10954,1
 73, 72,10513,1
 71, 74,10517,1
 72, 70,10084,1
 74, 72,10660,1
 70, 72,10084,1
 73, 68,9953,1
 73, 73,10658,1
 72, 75,10809,1
 73, 72,10513,1
 71, 74,10517,1
 73, 71,10370,1
 74, 71,10517,1
 70, 72,10084,1
 73, 67,9818,1
 73, 73,10658,1
 72, 74,10660,1
 73, 72,10513,1
 73, 70,10229,1
 70, 74,10376,1
 70, 73,10229,1
 73, 71,10370,1
 73, 67,9818,1
 73, 75,10954,1
 72, 75,10809,1
 71, 74,10517,1
 75, 71,10666,1
 72, 71,10225,1
 70, 73,10229,1
 73, 71,10370,1
 73, 68,9953,1
 73, 74,10805,1
 73, 74,10805,1
 73, 71,10370,1
 71, 74,10517,1
 73, 71,10370,1
 70, 73,10229,1
 74, 71,10517,1
 73, 73,10658,1
 73, 67,9818,1
 73, 75,10954,1
 71, 74,10517,1
 74, 71,10517,1
 72, 71,10225,1
 70, 73,10229,1
 74, 71,10517,1
 73, 68,9953,1
 72, 74,10660,1
 73, 74,10805,1
 71, 75,10666,1
 74, 72,10660,1
 73, 71,10370,1
 71, 72,10225,1
 74, 70,10376,1
 74, 68,10100,1
 73, 73,10658,1
 72, 74,10660,1
 71, 74,10517,1
 73, 73,10658,1
 73, 71,10370,1
 74, 71,10517,1
 70, 72,10084,1
 74, 68,10100,1
 73, 74,10805,1
 72, 74,10660,1
 71, 74,10517,1
 73, 71,10370,1
 73, 71,10370,1
 71, 72,10225,1
 74, 71,10517,1
 74, 68,10100,1
 72, 74,10660,1
 72, 74,10660,1
 72, 74,10660,1
 73, 72,10513,1
 73, 71,10370,1
 71, 72,10225,1
 74, 71,10517,1
 73, 68,9953,1
 73, 73,10658,1
 72, 74,10660,1
 71, 74,10517,1
 73, 71,10370,1
 72, 70,10084,1
 70, 72,10084,1
 74, 71,10517,1
 73, 68,9953,1
 73, 74,10805,1
 72, 74,10660,1
 73, 72,10513,1
 72, 74,10660,1
 73, 71,10370,1
 70, 72,10084,1
 74, 71,10517,1
 74, 68,10100,1
 73, 74,10805,1
 72, 74,10660,1
 71, 74,10517,1
 74, 71,10517,1
 72, 70,10084,1
 70, 72,10084,1
 74, 71,10517,1
 73, 68,9953,1
 73, 74,10805,1
 72, 74,10660,1
 71, 74,10517,1
 73, 71,10370,1
 72, 71,10225,1
 74, 71,10517,1
 70, 72,10084,1
 73, 74,10805,1
 73, 68,9953,1
 72, 74,10660,1
 71, 74,10517,1
 73, 71,10370,1
 73, 71,10370,1
 71, 72,10225,1
 75, 71,10666,1
 73, 74,10805,1
 73, 67,9818,1
 72, 74,10660,1
 73, 72,10513,1
 72, 71,10225,1
 70, 74,10376,1
 71, 72,10225,1
 74, 71,10517,1
 73, 73,10658,1
 72, 68,9808,1
 73, 74,10805,1
 71, 74,10517,1
 73, 72,10513,1
 72, 70,10084,1
 72, 72,10368,1
 75, 71,10666,1
 73, 73,10658,1
 73, 68,9953,1
 73, 74,10805,1
 71, 75,10666,1
 73, 72,10513,1
 72, 71,10225,1
 72, 72,10368,1
 75, 71,10666,1
 73, 68,9953,1
 73, 73,10658,1
 73, 74,10805,1
 73, 71,10370,1
 71, 74,10517,1
 72, 71,10225,1
 71, 72,10225,1
 75, 72,10809,1
 73, 74,10805,1
 73, 68,9953,1
 73, 74,10805,1
 72, 74,10660,1
 73, 72,10513,1
 72, 70,10084,1
 70, 72,10084,1
 74, 71,10517,1
 73, 73,10658,1
 73, 68,9953,1
 72, 75,10809,1
 71, 75,10666,1
 73, 72,10513,1
 72, 71,10225,1
 71, 72,10225,1
 74, 71,10517,1
 73, 68,9953,1
 73, 73,10658,1
 73, 75,10954,1
 73, 72,10513,1
 72, 75,10809,1
 72, 70,10084,1
 71, 72,10225,1
 74, 71,10517,1
 73, 73,10658,1
 73, 68,9953,1
 72, 75,10809,1
 71, 75,10666,1
 74, 72,10660,1
 72, 70,10084,1
 71, 72,10225,1
 74, 71,10517,1
 73, 68,9953,1
 73, 73,10658,1
 72, 75,10809,1
 73, 71,10370,1
 72, 75,10809,1
 72, 71,10225,1
 70, 72,10084,1
 74, 70,10376,1
 73, 68,9953,1
 73, 73,10658,1
 72, 74,10660,1
 73, 71,10370,1
 71, 74,10517,1
 72, 71,10225,1
 70, 72,10084,1
 74, 70,10376,1
 73, 67,9818,1
 73, 73,10658,1
 72, 75,10809,1
 73, 71,10370,1
 71, 75,10666,1
 73, 71,10370,1
 71, 72,10225,1
 75, 71,10666,1
 73, 68,9953,1
 73, 74,10805,1
 72, 74,10660,1
 72, 71,10225,1
 70, 74,10376,1
 73, 71,10370,1
 69, 72,9945,1
 74, 70,10376,1
 72, 67,9673,1
 73, 75,10954,1
 72, 75,10809,1
 74, 71,10517,1
 71, 74,10517,1
 72, 71,10225,1
 69, 71,9802,1
 75, 70,10525,1
 73, 68,9953,1
 73, 75,10954,1
 73, 75,10954,1
 73, 71,10370,1
 70, 74,10376,1
 73, 71,10370,1
 70, 71,9941,1
 75, 71,10666,1
 72, 68,9808,1
 73, 74,10805,1
 73, 75,10954,1
 73, 71,10370,1
 72, 74,10660,1
 73, 70,10229,1
 70, 71,9941,1
 75, 70,10525,1
 72, 68,9808,1
 73, 74,10805,1
 72, 74,10660,1
 74, 71,10517,1
 71, 75,10666,1
 73, 70,10229,1
 70, 72,10084,1
 74, 70,10376,1
 73, 73,10658,1
 72, 68,9808,1
 73, 75,10954,1
 71, 75,10666,1
 73, 71,10370,1
 73, 70,10229,1
 70, 72,10084,1
 75, 71,10666,1
 73, 74,10805,1
 73, 68,9953,1
 73, 75,10954,1
 72, 75,10809,1
 73, 71,10370,1
 73, 71,10370,1
 70, 72,10084,1
 75, 70,10525,1
 72, 68,9808,1
 73, 74,10805,1
 73, 75,10954,1
 72, 75,10809,1
 73, 71,10370,1
 73, 71,10370,1
 70, 72,10084,1
 74, 70,10376,1
 72, 68,9808,1
 73, 74,10805,1
 73, 75,10954,1
 71, 74,10517,1
 73, 70,10229,1
 73, 70,10229,1
 70, 72,10084,1
 74, 70,10376,1
 72, 67,9673,1
 73, 73,10658,1
 73, 75,10954,1
 71, 74,10517,1
 73, 70,10229,1
 73, 70,10229,1
 70, 72,10084,1
 74, 70,10376,1
 73, 73,10658,1
 72, 67,9673,1
 73, 75,10954,1
 73, 71,10370,1
 71, 74,10517,1
 73, 70,10229,1
 71, 72,10225,1
 74, 71,10517,1
 73, 68,9953,1
 73, 72,10513,1
 73, 75,10954,1
 73, 71,10370,1
 72, 74,10660,1
 73, 70,10229,1
 70, 72,10084,1
 74, 71,10517,1
 72, 68,9808,1
 73, 73,10658,1
 73, 75,10954,1
 73, 70,10229,1
 72, 74,10660,1
 73, 70,10229,1
 69, 72,9945,1
 75, 70,10525,1
 73, 67,9818,1
 73, 74,10805,1
 73, 76,11105,1
 73, 70,10229,1
 72, 71,10225,1
 71, 74,10517,1
 70, 72,10084,1
 75, 70,10525,1
 73, 67,9818,1
 73, 75,10954,1
 72, 75,10809,1
 72, 74,10660,1
 73, 73,10658,1
 72, 70,10084,1
 70, 72,10084,1
 75, 71,10666,1
 72, 67,9673,1
 73, 75,10954,1
 73, 75,10954,1
 74, 72,10660,1
 72, 74,10660,1
 72, 70,10084,1
 70, 72,10084,1
 75, 71,10666,1
 72, 67,9673,1
 73, 74,10805,1
 73, 75,10954,1
 72, 73,10513,1
 74, 72,10660,1
 72, 71,10225,1
 75, 70,10525,1
 70, 72,10084,1
 72, 68,9808,1
 73, 74,10805,1
 73, 75,10954,1
 72, 73,10513,1
 73, 73,10658,1
 72, 71,10225,1
 70, 72,10084,1
 75, 70,10525,1
 73, 68,9953,1
 72, 74,10660,1
 72, 75,10809,1
 74, 72,10660,1
 71, 74,10517,1
 72, 71,10225,1
 69, 72,9945,1
 75, 70,10525,1
 73, 68,9953,1
 73, 74,10805,1
 72, 75,10809,1
 71, 74,10517,1
 73, 72,10513,1
 72, 71,10225,1
 69, 72,9945,1
 75, 70,10525,1
 73, 68,9953,1
 73, 73,10658,1
 72, 75,10809,1
 73, 72,10513,1
 71, 74,10517,1
 72, 71,10225,1
 70, 72,10084,1
 74, 70,10376,1
 73, 68,9953,1
 73, 74,10805,1
 72, 76,10960,1
 71, 74,10517,1
 72, 71,10225,1
 74, 72,10660,1
 70, 72,10084,1
 74, 71,10517,1
 73, 68,9953,1
 73, 74,10805,1
 72, 75,10809,1
 74, 72,10660,1
 71, 74,10517,1
 72, 71,10225,1
 70, 72,10084,1
 74, 71,10517,1
 73, 68,9953,1
 73, 73,10658,1
 72, 75,10809,1
 71, 74,10517,1
 73, 72,10513,1
 72, 71,10225,1
 75, 71,10666,1
 70, 72,10084,1
 73, 67,9818,1
 73, 73,10658,1
 72, 75,10809,1
 71, 74,10517,1
 73, 71,10370,1
 73, 71,10370,1
 69, 73,10090,1
 73, 67,9818,1
 75, 71,10666,1
 73, 73,10658,1
 73, 75,10954,1
 73, 71,10370,1
 71, 74,10517,1
 73, 71,10370,1
 70, 73,10229,1
 74, 70,10376,1
 73, 67,9818,1
 73, 73,10658,1
 73, 75,10954,1
 72, 74,10660,1
 73, 71,10370,1
 73, 71,10370,1
 71, 72,10225,1
 74, 70,10376,1
 73, 68,9953,1
 73, 73,10658,1
 73, 75,10954,1
 73, 70,10229,1
 71, 74,10517,1
 72, 71,10225,1
 71, 73,10370,1
 74, 70,10376,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 71, 74,10517,1
 74, 71,10517,1
 72, 71,10225,1
 70, 73,10229,1
 74, 71,10517,1
 73, 67,9818,1
 73, 73,10658,1
 73, 74,10805,1
 72, 74,10660,1
 74, 71,10517,1
 73, 71,10370,1
 71, 73,10370,1
 74, 70,10376,1
 73, 67,9818,1
 73, 74,10805,1
 72, 74,10660,1
 74, 71,10517,1
 71, 74,10517,1
 72, 71,10225,1
 70, 73,10229,1
 75, 71,10666,1
 73, 68,9953,1
 73, 74,10805,1
 73, 75,10954,1
 71, 74,10517,1
 74, 71,10517,1
 73, 71,10370,1
 71, 73,10370,1
 74, 71,10517,1
 73, 73,10658,1
 72, 68,9808,1
 73, 75,10954,1
 72, 74,10660,1
 73, 72,10513,1
 72, 71,10225,1
 71, 73,10370,1
 74, 70,10376,1
 73, 73,10658,1
 73, 68,9953,1
 73, 75,10954,1
 71, 73,10370,1
 74, 71,10517,1
 72, 71,10225,1
 71, 73,10370,1
 74, 72,10660,1
 73, 67,9818,1
 73, 74,10805,1
 73, 75,10954,1
 73, 71,10370,1
 71, 73,10370,1
 73, 72,10513,1
 71, 72,10225,1
 75, 72,10809,1
 73, 68,9953,1
 73, 73,10658,1
 72, 75,10809,1
 71, 73,10370,1
 73, 71,10370,1
 72, 71,10225,1
 70, 73,10229,1
 74, 72,10660,1
 72, 68,9808,1
 73, 73,10658,1
 72, 75,10809,1
 72, 73,10513,1
 72, 71,10225,1
 73, 71,10370,1
 70, 73,10229,1
 74, 70,10376,1
 73, 68,9953,1
 73, 74,10805,1
 72, 75,10809,1
 73, 71,10370,1
 71, 74,10517,1
 73, 71,10370,1
 74, 70,10376,1
 70, 73,10229,1
 74, 68,10100,1
 74, 73,10805,1
 73, 75,10954,1
 73, 71,10370,1
 71, 74,10517,1
 73, 71,10370,1
 70, 73,10229,1
 74, 70,10376,1
 73, 73,10658,1
 73, 68,9953,1
 72, 75,10809,1
 73, 71,10370,1
 71, 74,10517,1
 72, 70,10084,1
 74, 70,10376,1
 70, 72,10084,1
 74, 68,10100,1
 73, 74,10805,1
 72, 75,10809,1
 73, 71,10370,1
 71, 74,10517,1
 72, 70,10084,1
 74, 70,10376,1
 70, 72,10084,1
 73, 68,9953,1
 73, 73,10658,1
 72, 75,10809,1
 73, 72,10513,1
 72, 74,10660,1
 72, 71,10225,1
 70, 72,10084,1
 74, 71,10517,1
 73, 68,9953,1
 73, 74,10805,1
 72, 75,10809,1
 72, 74,10660,1
